Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
The Shawshank Redemption,25000000,28767189,727327,1994-09-25 0:00:00,29330268,142,NA,Dolby Digital,1.85 : 1
The Godfather,6000000,136381073,302393,1972-03-19 0:00:00,250342030,175,Color,Mono(RCA Sound Recording original release); Dolby Digital,1.85 : 1
The Dark Knight,185000000,534987076,158411483,2008-07-20 0:00:00,1008497140,152,Color,Dolby Digital; SDDS; DTS,2.39 : 1
The Godfather Part II,13000000,47834595,171417,2019-11-10 0:00:00,47962897,202,Color,Dolby Digital,1.85 : 1
12 Angry Men,350000,0,0,1900-01-01 0:00:00,2667,96,Black and White,Mono,1.85 : 1
Schindler's List,22000000,96898818,656636,1993-12-19 0:00:00,322161245,195,Black and WhiteColor,DTS; DTS-Stereo,1.85 : 1
The Lord of the Rings: The Return of the King,94000000,381201096,72629713,2003-12-21 0:00:00,1150779825,201,Color,DTS-ES; Dolby Digital EX; SDDS; Dolby Atmos,2.39 : 1
Pulp Fiction,8000000,107928762,9311882,1994-10-16 0:00:00,213928762,154,Color,Dolby Digital; DTS,2.39 : 1
The Lord of the Rings: The Fellowship of the Ring,93000000,319205075,47211490,2001-12-23 0:00:00,887184080,178,Color,DTS; SDDS,2.39 : 1
"The Good, the Bad and the Ugly",1200000,25100000,0,0,25259657,178,Color,Mono,2.35 : 1
Forrest Gump,55000000,330455270,24450602,1994-07-10 0:00:00,678226465,142,ColorBlack and White,Dolby SR; SDDS; Dolby Atmos,2.39 : 1
The Lord of the Rings: The Two Towers,94000000,345349773,62007528,2002-12-22 0:00:00,951381487,179,Color,DTS-ES; Dolby Digital EX; SDDS; Dolby Atmos,2.39 : 1
Fight Club,63000000,37030102,11035485,1999-10-17 0:00:00,101320107,139,Color,Dolby Digital,2.39 : 1
Inception,160000000,292587330,62785337,2010-07-18 0:00:00,839030630,148,Color,Dolby Digital; DTS; SDDS,2.39 : 1
Star Wars: Episode V - The Empire Strikes Back,18000000,292753960,4910483,1980-05-25 0:00:00,538375067,124,Color,NA,2.39 : 1
The Matrix,63000000,172076928,27788331,1999-04-04 0:00:00,467683490,136,Color,Dolby Digital; SDDS; Dolby Atmos,2.39 : 1
Goodfellas,25000000,46909721,6368901,1990-09-23 0:00:00,47049784,145,Color,Dolby SR,1.85 : 1
One Flew Over the Cuckoo's Nest,3000000,108981275,0,1900-01-01 0:00:00,109115366,133,Color,Mono,1.85 : 1
Se7en,33000000,100125643,13949807,1995-09-24 0:00:00,327333559,127,Color,DTS; Dolby Digital; DTS 70 mm,2.39 : 1
Interstellar,165000000,188020017,47510360,2014-11-09 0:00:00,705191242,169,Color,Datasat; Dolby Digital; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
It's a Wonderful Life,3180000,1483643,44000,2020-12-20 0:00:00,9767242,130,Black and White,NA,1.37 : 1
Seven Samurai,125000000,318649,15942,2002-07-28 0:00:00,346258,207,Black and White,Mono,1.37 : 1
The Silence of the Lambs,19000000,130742922,13766814,1991-02-18 0:00:00,272742922,118,Color,Dolby SR; Dolby Stereo,1.85 : 1
Saving Private Ryan,70000000,217049603,30576104,1998-07-26 0:00:00,482351251,169,Color,DTS; Dolby Digital; SDDS; Dolby Atmos; Dolby Digital EX; Dolby Stereo,1.85 : 1
City of God,3300000,7564459,88292,2003-01-19 0:00:00,30680793,130,Color,Dolby Digital; SDDS,1.85 : 1
Life Is Beautiful,20000000,57563264,118920,1998-10-25 0:00:00,230099013,116,Color,Dolby Digital,1.85 : 1
The Green Mile,60000000,136801374,18017152,1999-12-12 0:00:00,286801374,189,Color,DTS; Dolby Digital; SDDS,1.85 : 1
Terminator Judgment Day,102000000,205881154,31765506,1991-07-07 0:00:00,520881154,137,NA,NA,2.39 : 1
Star Wars: Episode IV - A New Hope,11000000,460998507,1554475,1977-05-30 0:00:00,775398507,121,NA,Dolby Atmos; Mono; 70 mm 6-Track,2.35 : 1
Back to the Future,19000000,214077472,11152500,1985-07-07 0:00:00,384577472,116,Color,Dolby Digital; Dolby Atmos,NA
Dune: Part Two,190000000,282144358,82505391,2024-03-03 0:00:00,711844358,166,ColorBlack and White,Dolby Surround 7.1; Dolby Atmos; 12-Track Digital Sound; IMAX 6-Track; Dolby Digital; Auro 11.1; Sonics-DDP,NA
Spirited Away,19000000,15205725,449839,2002-09-22 0:00:00,357561772,125,Color,DTS-ES; Dolby Digital EX,1.85 : 1
The Pianist,35000000,32590750,111261,2002-12-29 0:00:00,120098945,150,Color,DTS; Dolby Digital,1.85 : 1
Parasite,11400000,53369749,393216,2019-10-13 0:00:00,262099264,132,Color,Dolby Atmos,2.39 : 1
Psycho,806947,32000000,0,1900-01-01 0:00:00,32061457,109,Black and White,Dolby Digital,1.37 : 1(original & negative ratio open matte)
Gladiator,103000000,187705427,34819017,2000-05-07 0:00:00,465387186,155,Color,SDDS; Dolby Digital; Dolby Atmos,2.39 : 1
Spider-Man: Across the Spider-Verse,150000000,381593754,120663589,2023-06-04 0:00:00,690897910,140,NA,Dolby Atmos; Dolby Surround 7.1; IMAX 6-Track; SDDS; Dolby Digital,2.39 : 1
The Lion King,45000000,422783777,1586753,1994-06-19 0:00:00,968750709,88,Color,Dolby Stereo(Dolby Stereo Spectral Recording original release),NA
The Departed,90000000,132399394,26887467,2006-10-08 0:00:00,291481358,151,Color,Dolby Digital; SDDS; DTS,2.39 : 1
L̩on: The Professional,115000000,19501238,5306558,1994-11-20 0:00:00,20275438,110,Color,Dolby Digital; Dolby Atmos,2.39 : 1
American History X,20000000,6719864,156076,1998-11-01 0:00:00,23875714,119,Color,Dolby Digital,1.85 : 1
Whiplash,3300000,13092000,135388,2014-10-12 0:00:00,49449489,106,Color,Dolby Digital; SDDS; Datasat; Dolby Atmos,2.39 : 1
The Prestige,40000000,53089891,14801808,2006-10-22 0:00:00,109676311,130,Color,SDDS; Dolby Digital; DTS,2.39 : 1
Grave of the Fireflies,3700000,516962,158101,2018-08-12 0:00:00,519421,89,Color,Dolby Stereo; Stereo,1.85 : 1
Harakiri,0,0,0,1900-01-01 0:00:00,15222,133,Black and White,Mono,2.35 : 1
The Usual Suspects,6000000,23341568,645363,1995-08-20 0:00:00,23341568,106,NA,Dolby SR; Dolby Digital,2.39 : 1
Casablanca,950000,4219709,181494,1992-04-12 0:00:00,4662952,102,Black and White,NA,1.37 : 1
The Intouchables,9500000,10198820,103507,2012-05-27 0:00:00,426590315,112,Color,Dolby Digital,1.85 : 1
Cinema Paradiso,5000000,12397210,16552,1990-02-04 0:00:00,13020497,174,Color,Mono,1.66 : 1
Modern Times,1500000,163577,35809,2003-12-28 0:00:00,463618,87,Black and White,Silent,1.37 : 1